trialID,analysisVar,varType,stabilityThreshold,mean,sd,median,min,max,ci95
runT25,hip_rotation_r,1D,0.75,8.678571428571429,3.5360750176731606,9,4,18,1.3097805159644111
runT25,hip_rotation_r,0D,1.0,2.5,1.349603116263656,2,2,8,0.49989998999799945
runT25,hip_rotation_r,1D,1.0,5.714285714285714,2.7497680792743084,5,2,12,1.0185283501208988
runT25,knee_angle_r,0D,0.25,23.642857142857142,7.911177832274884,24,12,39,2.9303412770528956
runT25,knee_angle_r,1D,0.25,29.035714285714285,4.663552775491655,29,20,39,1.7274041217966338
runT25,knee_angle_r,0D,0.5,10.785714285714286,7.802733691548398,10,2,24,2.8901730052022834
runT25,knee_angle_r,1D,0.5,18.071428571428573,4.8984587330285505,18,9,27,1.8144145061148513
runT25,knee_angle_r,0D,0.75,5.571428571428571,4.70128076340124,3,2,17,1.7413787640832197
runT25,knee_angle_r,1D,0.75,10.464285714285714,3.9684662641625064,12,2,18,1.469940474985297
runT25,knee_angle_r,0D,1.0,3.25,2.21399767711841,2,2,10,0.8200762159701986
runT25,knee_angle_r,1D,1.0,6.714285714285714,2.8266227053441972,7,2,12,1.046995701996909
runT25,ankle_angle_r,0D,0.25,14.25,7.134548739358763,15,3,30,2.642673835341774
runT25,ankle_angle_r,1D,0.25,30.392857142857142,4.082534976792568,31,21,38,1.5121921174242376
runT25,ankle_angle_r,0D,0.5,7.428571428571429,5.260557897006277,5,2,20,1.9485379134109757
runT25,ankle_angle_r,1D,0.5,19.142857142857142,4.549052379454474,20,8,29,1.6849925815860436
runT25,ankle_angle_r,0D,0.75,4.464285714285714,3.5805241321941246,3,2,17,1.3262446983871414
runT25,ankle_angle_r,1D,0.75,12.107142857142858,3.9127929896164755,12,3,18,1.449318805508298
runT25,ankle_angle_r,0D,1.0,3.142857142857143,2.263282788250694,2,2,11,0.8383316766053873
runT25,ankle_angle_r,1D,1.0,7.357142857142857,3.1646968452679602,8,2,13,1.172220115848555
runT35,hip_flexion_r,0D,0.25,19.857142857142858,7.094838595336581,19,8,37,2.6279649921564783
runT35,hip_flexion_r,1D,0.25,29.928571428571427,4.283928199249671,30,22,37,1.5867892109539945
runT35,hip_flexion_r,0D,0.5,9.714285714285714,5.495824017620384,9,2,22,2.0356817039999155
runT35,hip_flexion_r,1D,0.5,17.285714285714285,4.390388388751232,17,10,24,1.6262226169869858
runT35,hip_flexion_r,0D,0.75,4.785714285714286,4.0651580786091985,3,2,17,1.5057556242631136
runT35,hip_flexion_r,1D,0.75,10.035714285714286,3.755777861766957,9,5,17,1.3911595882572205
runT35,hip_flexion_r,0D,1.0,3.5,3.064776850417848,2,2,15,1.1352092318158797
runT35,hip_flexion_r,1D,1.0,6.321428571428571,3.262925631005001,6,2,16,1.2086045672592833
runT35,hip_adduction_r,0D,0.25,17.285714285714285,7.84609613054772,17,4,33,2.906234677378962
runT35,hip_adduction_r,1D,0.25,29.75,4.119856100122222,29,21,37,1.5260160549614148
runT35,hip_adduction_r,0D,0.5,7.071428571428571,5.263951336540773,5,2,19,1.9497948610046134
runT35,hip_adduction_r,1D,0.5,15.821428571428571,4.416313681183918,16,8,23,1.6358254796890774
runT35,hip_adduction_r,0D,0.75,4.178571428571429,3.5662462400818544,2,2,14,1.3209560931386024
runT35,hip_adduction_r,1D,0.75,9.535714285714286,3.041171565333978,9,2,16,1.1264657118616614
runT35,hip_adduction_r,0D,1.0,2.7142857142857144,1.6225452416572208,2,2,8,0.6009991680526687
runT35,hip_adduction_r,1D,1.0,6.214285714285714,2.6234810960295656,6,2,10,0.9717509969122748
runT35,hip_rotation_r,0D,0.25,19.714285714285715,7.873359887517358,21,3,32,2.916333314283537
runT35,hip_rotation_r,1D,0.25,31.0,3.218251521733946,32,23,36,1.192057045614848
runT35,hip_rotation_r,0D,0.5,9.607142857142858,5.2463544193923415,10,2,20,1.9432768716783513
runT35,hip_rotation_r,1D,0.5,18.107142857142858,4.194718496550886,19,10,27,1.5537454746514952
runT35,hip_rotation_r,0D,0.75,5.964285714285714,4.499858274412197,5,2,17,1.6667708300783282
runT35,hip_rotation_r,1D,0.75,10.5,4.004461797259937,12,3,17,1.4832734070291962
runT35,hip_rotation_r,0D,1.0,3.142857142857143,2.559496123881274,2,2,14,0.9480506315593065
runT35,hip_rotation_r,1D,1.0,6.5,3.2895939827627014,6,2,14,1.2184826629870447
runT35,knee_angle_r,0D,0.25,20.821428571428573,7.83332428715645,24,2,35,2.901503920383359
runT35,knee_angle_r,1D,0.25,29.928571428571427,4.390969396943909,31,21,38,1.6264378254332377
runT35,knee_angle_r,0D,0.5,10.214285714285714,6.2869317002876395,10,2,21,2.3287120904053378
runT35,knee_angle_r,1D,0.5,17.892857142857142,4.466856402711977,19,10,25,1.654546765733746
